epoch,train_loss,val_loss,val_mae,val_r,lr,duration,val_l_distill,val_l_factuality,val_l_lexical,val_l_bound,val_l_rank,val_total
1,0.0267444235068559,0.0225561510874896,0.0945801958220551,0.8421703673093394,2.552463008225543e-05,4573.5483215,0.0154200924864642,0.019261475448191,0.0061708587084318,0.0551562718771958,0.0,0.0225561510874896
2,0.0231732759903371,0.0217324475313546,0.0930881364668957,0.8459569561007503,1.000012380430718e-06,4575.738372899999,0.01506179361358,0.0177717884629899,0.0057730752923092,0.0533491039662552,0.0,0.0217324475313546
3,0.0224783301603794,0.0202800010028443,0.0896559608273208,0.8530216024995706,2.552463008225543e-05,2484.661998899999,0.0142677690549071,0.0156468668000499,0.0050547428764284,0.0502043737062982,0.0,0.0202800010028443
4,0.0216650956048071,0.0200507872304908,0.0909392863612622,0.8508034812841144,1.000012380430718e-06,2484.3881841,0.0143912753096194,0.0173994348114534,0.0048810684264512,0.0475653692083373,0.0,0.0200507872304908
5,0.0214836978192627,0.0206182654472483,0.0896793693646788,0.8529544052133579,4.99999969088526e-05,2500.4684602999987,0.0142330677325653,0.0198212152207566,0.0046869492652131,0.0491275328098778,0.0,0.0206182654472483
6,0.0208596979732811,0.0200693511528668,0.0889640506979078,0.8609959689798101,4.999998762749149e-05,2658.7966887,0.014183701532092,0.0186107694364158,0.004954708809816,0.0472133918457729,0.0,0.0200693511528668
7,0.02067066063717,0.0199163914925068,0.0908077362924814,0.8540583295114744,4.999997215591776e-05,2510.917732600002,0.0145960055961967,0.0181654110338811,0.0046112951288699,0.0460094119167062,0.0,0.0199163914925068
8,0.0226316720305383,0.0206586046879933,0.0864105916038155,0.8644620039250175,2.552463008225543e-05,2497.2110267000003,0.0135174653030172,0.0163094280836332,0.0046975787344928,0.0445235853504603,0.0184410357414774,0.0206586046879933
9,0.0221173770815134,0.0211057742689825,0.0865809493090957,0.8664274843272652,1.000012380430718e-06,2774.8949725,0.0137297166985975,0.0164495990893382,0.0045539041488745,0.0464465839278166,0.0180107330114456,0.0211057742689825
10,0.0222373508846759,0.0212689993879312,0.0884281720306724,0.8619758967280485,4.99999969088526e-05,2540.2448910000003,0.0139959541707044,0.0159691760441062,0.004487267871844,0.0467564290282642,0.0185126969946702,0.0212689993879312
11,0.0219656335994601,0.020868703550926,0.0879500733725726,0.8618020647385076,4.999998762749149e-05,2487.821962099999,0.0141739623656698,0.0141819915452461,0.0041224021000407,0.0459628699904983,0.0184348884252178,0.020868703550926
12,0.0216742193767428,0.0205023938517092,0.0845649429097771,0.8736761352955738,4.999997215591776e-05,2485.094892700001,0.0127387579921988,0.0170185299824543,0.0042093628765362,0.0461860583490057,0.0171161890474806,0.0205023938517092
13,0.0213846362619102,0.0222188093385119,0.0900155579462647,0.8559052401586593,4.999995049413532e-05,2484.926775400001,0.0147148706701103,0.0203482772514318,0.0049498027715547,0.0456127352110899,0.0194411460624616,0.0222188093385119
14,0.0213627524605393,0.0198418801608881,0.0859281305506825,0.870512224748929,4.9999922642149625e-05,2485.8040857999986,0.0128471242652458,0.0138501449759491,0.0046175130669644,0.0447884938282192,0.016904702988471,0.0198418801608881
15,0.0212164397633075,0.019648177478059,0.0859872860182076,0.8693398800748475,4.999988859996774e-05,2485.3954956000016,0.0130622765838293,0.013929559240432,0.0037231528708877,0.0437626393903402,0.0171660417839172,0.019648177478059
16,0.0212233204379677,0.0204384190083783,0.0860108146753162,0.8635442148321341,4.9999848367598245e-05,2485.1959885,0.013428854910289,0.0167543639482301,0.004084547515217,0.0439936500873155,0.0179942449062445,0.0204384190083783
17,0.0211869202244281,0.0202682628978494,0.0848236608657986,0.8664438688190276,4.999980194505131e-05,2484.943192299997,0.0130898587562879,0.0145374385856542,0.0042807182162157,0.0453382159945122,0.0183296650603627,0.0202682628978494
18,0.0208453085128962,0.019869811038018,0.0870290883194655,0.8693735484466695,4.999974933233867e-05,2484.989636800001,0.0131491281768413,0.015470773386502,0.0037969076608539,0.0435675577302077,0.0169158303653406,0.019869811038018
19,0.0210547597199678,0.0195784535033592,0.0847645841103047,0.8669432759796444,4.999969052947361e-05,2485.0709326,0.0130751695288167,0.0130858831641495,0.0036764635958791,0.0438801989694879,0.0175047675355272,0.0195784535033592
20,0.020607519172132,0.0206675831003078,0.0887247537583112,0.8650408230651179,4.999962553647099e-05,2485.445584699999,0.014349468814648,0.0148176745199049,0.0040104026794225,0.0443330804408071,0.0180202071750714,0.0206675831003078
21,0.0205251290555298,0.0203443593019322,0.0943930654630064,0.8640356374050168,4.999955435334724e-05,2484.943309399998,0.0154736373947257,0.0131113694292629,0.0036818405648895,0.0418340614492631,0.0172174656259453,0.0203443593019322
22,0.0204923665323853,0.0191528844012386,0.0847273712657392,0.8788901186111452,4.999947698012033e-05,2485.0104482000024,0.0126272989051404,0.0120731196373665,0.0038939265769336,0.0441540459016705,0.0161336855547633,0.0191528844012386
23,0.0206326786381006,0.0190144030875556,0.0844711802791804,0.8752168166088925,4.999939341680983e-05,2485.1437891000023,0.0125717196411862,0.0111474804087114,0.0034482089712159,0.0443748189670265,0.0166422590186261,0.0190144030875556
24,0.0204611507645249,0.0195681816856762,0.0859272747039795,0.8777292510039826,4.999930366343682e-05,2485.243355799997,0.0127738717540054,0.0128115808500783,0.0044745320430511,0.0448955077511869,0.0160922696102102,0.0195681816856762
25,0.0203506123968958,0.0189583554424962,0.0858467165354639,0.8707746553655925,4.999920772002401e-05,2485.6985207000034,0.0129119592398452,0.0133466575664949,0.0031589174140422,0.041687420053277,0.0168905540541478,0.0189583554424962
26,0.0204610066989064,0.0199204753953844,0.0895917380858212,0.8682003950295327,4.999910558659563e-05,2485.5900334000034,0.0140996559457794,0.0120032625298822,0.0039647911114701,0.0435612098592671,0.0176319724370007,0.0199204753953844
27,0.0205201131007075,0.0189413993892253,0.0831283523701131,0.8710614464893541,4.9998997263177486e-05,2498.457523500001,0.0127301679651258,0.012165953670658,0.0034057869839891,0.0424905118004531,0.0174245167476166,0.0189413993892253
28,0.0202684349754452,0.0190128367512848,0.0845391917385161,0.8723606787227906,4.9998882749796944e-05,2508.2115988000005,0.0125938893539036,0.0117554871801429,0.0035626689824097,0.0436855654712695,0.0168105524276519,0.0190128367512848
29,0.0201928214609622,0.0186059599813477,0.0823190705925226,0.8773185857527426,2.552463008225543e-05,2485.7521641999992,0.0122509936084318,0.0111683023104349,0.003774034250142,0.043218356788538,0.0159544105564427,0.0186059599813477
30,0.0201894947725534,0.0188557595714547,0.0826492312408983,0.8775831106098453,1.000012380430718e-06,2485.9217400999987,0.0123169301374323,0.0127858168039186,0.0035677868105429,0.0431816055896175,0.0160793260979661,0.0188557595714547
31,0.0200828649595379,0.0199044000143837,0.0838188182108104,0.8725363296422165,4.99999969088526e-05,2485.709501600002,0.0129073316877956,0.0145444260601689,0.0038168320071195,0.0449446119890091,0.0170762284397841,0.0199044000143837
32,0.0202425500412285,0.0185797539521839,0.0845832250360399,0.8731127355169745,4.999998762749149e-05,2485.7200372000007,0.0125051821392195,0.0113807104002969,0.0029541665126842,0.0424438595629421,0.0168815918450664,0.0185797539521839
33,0.0198860391961038,0.0188531247471832,0.0820705022551119,0.8819712532874414,4.999997215591776e-05,2485.573547500011,0.0119607965995788,0.0140061616833814,0.0035739047293385,0.0435771609116701,0.0152028402740693,0.0188531247471832
34,0.020454773427546,0.0192443000532354,0.0833172823362052,0.8774101128851945,4.999995049413532e-05,2485.821491099996,0.0124797627839977,0.0130096178473667,0.0034782412272112,0.0446498180579417,0.0160127601817629,0.0192443000532354
35,0.0197170986661314,0.0190535439474947,0.083434523563832,0.8766329592035502,4.9999922642149625e-05,2484.8037183999986,0.0128066610562715,0.0125358409639803,0.0031883933419765,0.0432510458905795,0.0164136880620198,0.0190535439474947
36,0.0199345666132867,0.0188998768912853,0.081835574452579,0.8816435589266344,4.999988859996774e-05,2485.833792199992,0.0120717062908491,0.0128753061464151,0.003672376454876,0.043960217457668,0.0158982759988184,0.0188998768912853
